fid,a,b,c,d,e
F0005,0,0,0,0,0
F0011,0,0,0,0,0
F0012,1,0,0,0,0
F0013,0,0,0,0,0
F0017,1,1,1,0,0
F0018,0,0,1,1,0
F0019,1,0,1,0,0
F0020,1,0,0,0,0
F0025,0,1,1,0,0
F0027,0,0,1,0,0
F0029,0,0,0,0,0
F0032,0,1,0,1,0
F0038,0,0,1,0,0
F0039,1,0,1,0,0
F0040,0,0,1,0,0
F0041,0,0,0,0,0
F0044,0,0,0,0,0
F0049,0,0,0,0,0
F0051,0,1,1,0,0
F0053,1,0,1,1,0
F0054,1,1,1,1,0
F0056,0,0,0,0,0
F0066,1,0,1,1,0
F0067,0,0,1,0,0
F0068,1,0,0,0,0
F0069,1,1,1,0,0
F0070,0,0,0,0,0
F0071,0,0,0,1,0
F0074,0,0,0,0,0
F0075,0,0,0,0,0
F0076,0,0,1,0,0
F0084,1,0,1,0,0
F0086,1,0,1,0,0
F0087,0,1,1,0,0
F0088,0,1,1,0,0
F0089,0,0,0,0,0
F0093,1,0,1,0,0
F0094,0,0,0,0,0
F0096,0,0,0,0,0
F0098,1,0,1,0,0
F0099,1,0,1,0,0
F0101,0,0,0,0,0
F0103,0,0,1,1,0
F0105,0,0,1,0,0
F0108,0,0,0,0,0
F0109,0,0,0,0,0
F0112,0,1,1,1,0
F0114,0,0,0,0,0
F0115,0,0,1,0,0
F0121,1,0,1,0,0
F0125,1,0,0,0,0
F0126,0,0,0,0,0
F0130,1,0,1,0,0
F0132,1,1,1,0,0
F0136,0,0,0,0,0
F0138,0,0,1,0,0
F0142,0,0,0,0,0
F0145,0,0,0,0,0
F0146,1,0,1,0,0
F0149,0,0,1,0,0
F0151,1,0,1,1,0
F0152,1,1,1,0,0
F0154,0,0,1,0,0
F0155,0,0,1,0,1
F0158,0,0,1,0,0
F0159,1,1,1,0,0
F0160,0,0,0,0,0
F0161,1,1,1,0,0
F0163,0,0,0,0,0
F0166,0,0,0,0,0
F0168,0,0,1,0,0
F0169,0,0,1,0,0
F0170,0,1,1,0,0
F0171,0,0,1,0,0
F0172,0,0,0,0,0
F0174,0,0,0,0,0
F0176,0,0,0,0,0
F0177,0,0,1,1,1
F0178,1,0,1,0,0
F0179,0,0,1,0,0
F0183,0,0,0,0,0
F0184,0,0,0,0,0
F0185,0,0,0,0,0
F0187,0,0,0,0,0
F0189,0,0,1,0,0
F0190,1,0,1,1,0
F0193,0,0,0,0,0
F0199,0,0,0,0,0
F0202,0,0,0,0,0
F0204,0,0,0,0,0
F0209,0,0,0,0,0
F0210,1,0,1,0,0
F0211,1,0,1,0,0
F0213,1,0,1,0,0
F0214,1,0,1,0,0
F0220,0,0,0,0,0
F0228,1,1,1,0,0
F0229,0,0,0,0,0
F0230,1,0,1,0,0
F0232,0,0,0,0,0
F0234,0,0,0,0,0
F0235,0,0,0,0,0
F0236,1,0,1,0,0
F0238,1,1,1,0,0
F0240,1,1,1,0,0
F0246,0,1,1,0,1
F0248,0,0,0,0,0
F0251,0,0,1,0,0
F0252,1,0,1,0,0
F0255,1,1,1,0,0
F0257,0,0,1,0,0
F0259,1,1,1,1,0
F0261,0,0,0,0,0
F0262,0,0,0,0,0
F0263,1,0,1,0,1
F0264,0,0,1,0,0
F0265,1,0,1,0,0
F0266,0,0,0,0,0
F0267,0,0,0,0,0
F0269,0,0,0,0,0
F0270,0,0,0,0,0
F0271,1,0,1,0,0
F0274,0,0,1,0,0
F0275,0,1,1,0,1
F0276,0,0,0,0,0
F0277,0,0,0,0,0
F0278,0,0,1,0,0
F0284,1,1,1,0,0
F0286,1,0,1,0,0
F0288,1,0,1,0,0
F0293,1,0,1,0,0
F0294,0,0,0,0,0
F0295,0,0,0,0,0
F0300,0,0,0,0,0
F0304,0,0,0,0,0
F0306,0,0,0,0,0
F0307,0,0,0,0,0
F0308,0,1,1,0,1
F0309,1,0,1,0,0
F0311,0,0,0,0,0
F0312,1,0,0,0,0
F0313,1,0,1,0,0
F0314,1,0,1,0,0
F0316,1,0,0,0,0
F0319,0,0,1,0,0
F0321,1,0,1,0,0
F0322,0,0,0,0,0
F0325,1,0,0,1,0
F0330,1,0,0,0,0
F0331,0,0,1,0,0
F0333,0,0,0,0,0
F0335,0,1,1,0,1
F0336,0,0,0,0,0
F0339,1,1,1,0,0
F0341,0,0,1,0,0
F0342,0,0,0,0,0
F0343,1,0,1,1,0
F0349,0,0,0,0,0
F0351,0,0,1,0,0
F0352,0,1,1,0,0
F0354,0,0,0,0,0
F0355,1,0,1,0,0
F0357,1,0,0,0,0
F0358,0,0,0,0,0
F0359,0,0,0,0,0
F0360,1,0,1,0,1
F0364,0,0,1,0,0
F0367,0,0,0,0,0
F0372,0,1,1,0,0
F0373,0,1,1,0,1
F0376,1,1,1,0,1
F0379,0,1,1,0,0
F0381,0,0,0,0,0
F0383,1,0,1,0,0
F0384,0,0,1,0,0
F0385,1,0,1,1,1
F0388,0,0,0,0,0
F0392,1,0,1,0,0
F0396,1,1,1,0,0
F0397,0,0,0,0,0
