fid,a,b,c,d,e
F0002,0,0,0,0,0
F0013,0,0,0,0,0
F0022,0,0,0,0,0
F0024,0,0,0,0,0
F0026,0,0,0,0,0
F0027,1,0,1,0,0
F0033,0,0,0,0,0
F0050,0,0,0,0,0
F0054,1,0,1,0,0
F0058,0,0,0,0,0
F0060,0,0,0,0,0
F0063,0,0,0,0,0
F0068,1,0,0,0,0
F0074,0,0,0,0,0
F0083,0,0,0,0,0
F0091,0,0,0,0,0
F0093,1,0,1,0,0
F0110,0,0,0,0,0
F0113,0,0,0,0,0
F0122,0,0,0,0,0
F0123,0,0,0,0,0
F0124,0,0,0,0,0
F0125,1,0,0,0,0
F0131,0,0,0,0,0
F0137,0,0,0,0,0
F0146,1,0,1,0,0
F0151,1,0,1,0,0
F0153,0,0,0,0,0
F0161,1,1,1,0,0
F0183,0,0,0,0,0
F0185,0,0,0,0,0
F0187,0,0,0,0,0
F0194,0,0,0,0,0
F0196,0,0,0,0,0
F0203,0,0,0,0,0
F0204,0,0,0,0,0
F0224,0,0,0,0,0
F0226,0,0,0,0,0
F0239,0,0,0,0,0
F0246,0,0,1,1,1
F0269,1,0,1,0,0
F0285,1,0,0,0,0
F0290,0,0,0,0,0
F0294,0,0,0,0,0
F0299,0,0,0,0,0
F0308,1,0,1,0,1
F0314,1,0,0,0,0
F0315,0,0,0,0,0
F0321,1,0,1,0,0
F0322,0,0,0,0,0
F0329,0,0,0,0,0
F0334,0,0,0,0,0
F0340,0,0,0,0,0
F0345,0,0,0,0,0
F0360,1,0,1,0,1
F0371,0,0,0,0,0
F0380,0,0,0,0,0
F0387,0,0,0,0,0
F0391,0,0,0,0,0
F0394,0,0,1,0,0
