fid,type,aum_quartile,regulatory_aum
F0001,wealth_ria,Q3,583835713.0
F0002,wealth_ria,Q4,2465463619.0
F0003,wealth_ria,Q4,1705976563.0
F0004,wealth_ria,Q4,37133957466.0
F0005,wealth_ria,Q4,479793782427.0
F0006,wealth_ria,Q4,2855965000.0
F0007,wealth_ria,Q3,665628767.0
F0008,wealth_ria,Q3,818691134.0
F0009,wealth_ria,Q3,796416350.0
F0010,wealth_ria,Q2,290256989.0
F0011,wealth_ria,Q2,226326709.0
F0012,private_fund,Q4,4550315616.0
F0013,wealth_ria,Q4,2342392629.0
F0014,private_fund,Q4,5271901660.0
F0015,wealth_ria,Q2,240900957.0
F0016,wealth_ria,Q2,349174363.0
F0017,private_fund,Q4,307726562224.0
F0018,wealth_ria,Q4,3359521956.0
F0019,wealth_ria,Q4,85208444537.0
F0020,private_fund,Q4,15615206587.0
F0021,wealth_ria,Q4,16852034196.0
F0022,wealth_ria,Q3,723730439.0
F0023,wealth_ria,Q1,460642.0
F0024,private_fund,Q1,129185039.0
F0025,private_fund,Q4,7277109024.0
F0026,wealth_ria,Q1,112959342.0
F0027,wealth_ria,Q4,65938129807.0
F0028,wealth_ria,Q4,3269000000.0
F0029,wealth_ria,Q1,116641399.0
F0030,wealth_ria,Q3,782900000.0
F0031,wealth_ria,Q3,462109722.0
F0032,wealth_ria,Q4,14211502743.0
F0033,wealth_ria,Q4,1541488163.0
F0034,wealth_ria,Q3,474349933.0
F0035,private_fund,Q3,726869853.0
F0036,private_fund,Q2,324842021.0
F0037,private_fund,Q2,218039216.0
F0038,private_fund,Q4,34572975621.0
F0039,wealth_ria,Q4,2459101392.0
F0040,private_fund,Q4,9320091885.0
F0041,wealth_ria,Q4,1928582015.0
F0042,wealth_ria,Q4,2454391330.0
F0043,wealth_ria,Q2,214939000.0
F0044,wealth_ria,Q3,572996438.0
F0045,wealth_ria,Q1,156025618.0
F0046,wealth_ria,Q2,242779116.0
F0047,wealth_ria,Q3,819802922.0
F0048,wealth_ria,Q3,1418463150.0
F0049,private_fund,Q1,60454779.0
F0050,wealth_ria,Q1,146174311.0
F0051,wealth_ria,Q4,426071864566.0
F0052,wealth_ria,Q3,606989977.0
F0053,wealth_ria,Q3,1365398340.0
F0054,private_fund,Q4,10127384993.0
F0055,wealth_ria,Q4,11970300000.0
F0056,wealth_ria,Q4,5589521872.0
F0057,wealth_ria,Q1,169057797.0
F0058,wealth_ria,Q2,183187386.0
F0059,wealth_ria,Q1,159049911.0
F0060,wealth_ria,Q2,177838967.0
F0061,wealth_ria,Q2,389745910.0
F0062,wealth_ria,Q3,549874500.0
F0063,wealth_ria,Q2,309161872.0
F0064,wealth_ria,Q1,139794016.0
F0065,wealth_ria,Q3,467476449.0
F0066,private_fund,Q2,269150896.0
F0067,private_fund,Q4,32085958361.0
F0068,wealth_ria,Q2,202331744.0
F0069,private_fund,Q4,126022034338.0
F0070,wealth_ria,Q1,34732586.0
F0071,wealth_ria,Q1,125612329.0
F0072,wealth_ria,Q1,56367397.0
F0073,wealth_ria,Q4,3454023737.0
F0074,wealth_ria,Q4,3329402135.0
F0075,private_fund,Q4,7518040404.0
F0076,wealth_ria,Q4,1835159664.0
F0077,wealth_ria,Q4,26177360509.0
F0078,wealth_ria,Q2,224325138.0
F0079,wealth_ria,Q2,195879605.0
F0080,wealth_ria,Q2,195637746.0
F0081,wealth_ria,Q3,637647197.0
F0082,wealth_ria,Q2,176171921.0
F0083,private_fund,Q2,365859659.0
F0084,private_fund,Q4,314926162888.0
F0085,wealth_ria,Q3,642761863.0
F0086,private_fund,Q4,48873548310.0
F0087,private_fund,Q4,18023574796.0
F0088,private_fund,Q2,203495921.0
F0089,wealth_ria,Q1,107727309.0
F0090,wealth_ria,Q3,1279740797.0
F0091,wealth_ria,Q2,326874469.0
F0092,wealth_ria,Q1,166488910.0
F0093,wealth_ria,Q3,659196636.0
F0094,wealth_ria,Q3,799701457.0
F0095,wealth_ria,Q2,328421307.0
F0096,wealth_ria,Q1,141874080.0
F0097,wealth_ria,Q4,7113460994.0
F0098,private_fund,Q4,8046028009.0
F0099,private_fund,Q4,45003485534.0
F0100,private_fund,Q1,144417319.0
F0101,private_fund,Q1,6988996.0
F0102,wealth_ria,Q2,371163779.0
F0103,wealth_ria,Q4,2000456128.0
F0104,wealth_ria,Q4,3635326096.0
F0105,private_fund,Q4,2035598940.0
F0106,wealth_ria,Q2,287088356.0
F0107,wealth_ria,Q1,155149960.0
F0108,wealth_ria,Q1,150510017.0
F0109,wealth_ria,Q1,124688841.0
F0110,private_fund,Q1,7018055.0
F0111,wealth_ria,Q2,304159448.0
F0112,wealth_ria,Q3,443510505.0
F0113,wealth_ria,Q3,454837733.0
F0114,wealth_ria,Q1,172551037.0
F0115,private_fund,Q4,3589216000.0
F0116,wealth_ria,Q2,238769135.0
F0117,wealth_ria,Q1,117448231.0
F0118,private_fund,Q2,223474087.0
F0119,wealth_ria,Q1,135101245.0
F0120,wealth_ria,Q1,45163215.0
F0121,private_fund,Q4,6984451470.0
F0122,private_fund,Q4,5351394491.0
F0123,wealth_ria,Q2,318092824.0
F0124,wealth_ria,Q4,12271567390.0
F0125,wealth_ria,Q1,100038726.0
F0126,wealth_ria,Q2,244355449.0
F0127,private_fund,Q3,578098611.0
F0128,wealth_ria,Q4,2006194813.0
F0129,wealth_ria,Q4,5492604000.0
F0130,wealth_ria,Q3,418691638.0
F0131,wealth_ria,Q2,218700000.0
F0132,wealth_ria,Q1,168100000.0
F0133,private_fund,Q1,119113597.0
F0134,private_fund,Q2,239887365.0
F0135,private_fund,Q4,4691282848.0
F0136,wealth_ria,Q4,4268132507.0
F0137,wealth_ria,Q3,624665782.0
F0138,private_fund,Q3,876673683.0
F0139,wealth_ria,Q4,3059458638.0
F0140,wealth_ria,Q1,129999302.0
F0141,private_fund,Q1,27209750.0
F0142,wealth_ria,Q3,748306026.0
F0143,private_fund,Q2,296810115.0
F0144,wealth_ria,Q4,3193035807.0
F0145,private_fund,Q1,102880100.0
F0146,private_fund,Q4,3030399721.0
F0147,private_fund,Q4,2140123494.0
F0148,private_fund,Q1,132658986.0
F0149,private_fund,Q2,370275683.0
F0150,private_fund,Q3,584492702.0
F0151,wealth_ria,Q4,15423271608.0
F0152,private_fund,Q4,7215624352.0
F0153,private_fund,Q2,383005724.0
F0154,private_fund,Q4,5931030810.0
F0155,private_fund,Q4,26642350736.0
F0156,wealth_ria,Q1,105656862.0
F0157,private_fund,Q4,3724425981.0
F0158,private_fund,Q3,775451000.0
F0159,private_fund,Q4,1638353029.0
