fid,exposed,fingerprints
F0001,0,
F0002,0,
F0003,0,
F0004,0,
F0005,0,
F0006,0,
F0010,0,
F0012,0,
F0013,0,
F0015,0,
F0016,0,
F0017,0,
F0018,0,
F0020,0,
F0021,0,
F0022,0,
F0025,0,
F0028,0,
F0029,0,
F0030,0,
F0032,0,
F0033,0,
F0034,0,
F0035,0,
F0036,0,
F0037,0,
F0038,0,
F0039,0,
F0040,0,
F0042,0,
F0043,0,
F0044,0,
F0046,0,
F0047,0,
F0048,0,
F0049,0,
F0050,0,
F0051,0,
F0052,0,
F0053,0,
F0054,0,
F0057,0,
F0059,0,
F0060,0,
F0061,0,
F0062,0,
F0064,0,
F0065,0,
F0067,0,
F0068,0,
F0069,0,
F0070,0,
F0071,0,
F0072,0,
F0073,0,
F0074,0,
F0075,0,
F0076,0,
F0078,0,
F0079,0,
F0080,0,
F0081,0,
F0082,0,
F0083,0,
F0084,0,
F0085,0,
F0086,0,
F0087,0,
F0089,0,
F0090,0,
F0092,0,
F0094,0,
F0095,0,
F0096,0,
F0099,0,
F0100,0,
F0101,1,F3;F5;F6
F0104,0,
F0106,0,
F0107,0,
F0108,0,
F0109,0,
F0110,0,
F0111,0,
F0112,0,
F0113,0,
F0114,0,
F0116,0,
F0117,0,
F0118,0,
F0119,0,
F0122,0,
F0123,0,
F0124,0,
F0125,0,
F0127,0,
F0128,0,
F0130,0,
F0131,0,
F0132,0,
F0133,0,
F0134,0,
F0135,0,
F0137,0,
F0138,0,
F0139,0,
F0140,0,
F0141,0,
F0142,0,
F0144,0,
F0147,0,
F0148,0,
F0149,0,
F0150,0,
F0152,0,
F0154,0,
F0155,0,
F0156,0,
F0157,0,
F0158,0,
F0159,0,
F0160,0,
F0161,0,
F0162,0,
F0164,0,
F0165,0,
F0166,0,
F0167,0,
F0168,0,
F0169,0,
F0170,0,
F0171,0,
F0172,1,F1;F5
F0173,0,
F0174,0,
F0176,0,
F0177,0,
F0178,0,
F0181,0,
F0186,0,
F0187,0,
F0189,0,
F0191,0,
F0193,0,
F0195,0,
F0197,0,
F0200,0,
F0201,0,
F0203,0,
F0204,0,
F0205,0,
F0206,0,
F0207,0,
F0208,0,
F0209,0,
F0210,0,
F0211,0,
F0213,0,
F0214,0,
F0215,0,
F0216,0,
F0217,0,
F0219,0,
F0220,0,
F0221,0,
F0222,0,
F0223,0,
F0225,0,
F0227,0,
F0230,0,
F0232,0,
F0233,0,
F0234,0,
F0235,0,
F0236,0,
F0237,0,
F0238,0,
F0239,0,
F0240,0,
F0244,0,
F0245,0,
F0246,0,
F0247,0,
F0248,0,
F0249,0,
F0251,0,
F0254,0,
F0256,0,
F0257,0,
F0258,0,
F0260,0,
F0261,0,
F0262,0,
F0263,0,
F0264,0,
F0265,0,
F0266,0,
F0268,0,
F0269,0,
F0271,0,
F0272,0,
F0273,0,
F0274,0,
F0275,0,
F0276,0,
F0279,0,
F0280,0,
F0281,0,
F0282,0,
F0283,0,
F0284,0,
F0285,0,
F0286,0,
F0288,0,
F0289,0,
F0290,0,
F0292,0,
F0294,0,
F0295,0,
F0297,0,
F0299,0,
F0300,0,
F0302,0,
F0304,0,
F0306,0,
F0307,0,
F0308,0,
F0309,0,
F0310,0,
F0311,0,
F0312,0,
F0313,0,
F0314,0,
F0315,0,
F0319,0,
F0320,0,
F0321,0,
F0322,0,
F0323,0,
F0325,0,
F0328,0,
F0329,0,
F0331,0,
F0332,0,
F0333,0,
F0336,0,
F0338,0,
F0341,0,
F0344,0,
F0345,0,
F0347,0,
F0353,0,
F0354,0,
F0355,0,
F0356,0,
F0357,0,
F0358,0,
F0359,0,
F0361,0,
F0362,0,
F0364,0,
F0365,0,
F0366,0,
F0367,0,
F0369,0,
F0370,0,
F0372,0,
F0375,0,
F0379,0,
F0381,0,
F0382,0,
F0385,0,
F0386,0,
F0387,0,
F0388,0,
F0390,0,
F0391,0,
F0392,0,
F0394,0,
F0396,0,
F0397,0,
F0399,0,
F0400,0,
