fid,a,b,c,d,e
F0001,0,0,0,0,0
F0002,0,0,0,0,0
F0003,0,0,0,0,0
F0004,0,0,0,0,0
F0005,1,0,0,0,1
F0006,0,0,0,0,0
F0007,0,0,0,0,0
F0008,0,0,0,0,0
F0009,0,0,0,0,0
F0010,0,0,0,0,0
F0011,0,0,0,0,0
F0012,1,0,0,0,0
F0013,0,0,0,0,0
F0014,0,0,0,0,0
F0015,0,0,0,0,0
F0016,0,0,0,0,0
F0017,1,1,1,0,1
F0018,0,1,1,1,0
F0019,1,0,1,0,0
F0020,1,0,0,0,0
F0021,0,0,0,0,0
F0022,0,0,0,0,0
F0024,0,0,0,0,0
F0025,0,1,1,0,0
F0026,0,0,0,0,0
F0027,0,0,1,0,0
F0028,0,0,0,0,0
F0029,0,0,0,0,0
F0030,0,0,0,0,0
F0031,0,0,0,0,0
F0032,0,1,0,0,0
F0033,0,0,0,0,0
F0034,0,0,0,0,0
F0035,0,0,0,0,0
F0036,0,0,0,0,0
F0037,0,0,0,0,0
F0038,0,0,1,0,0
F0039,1,1,1,0,1
F0040,1,0,1,0,1
F0041,1,0,0,0,0
F0042,0,0,0,0,0
F0043,0,0,0,0,0
F0044,0,0,0,0,0
F0045,0,0,0,0,0
F0046,0,0,0,0,0
F0047,0,0,0,0,0
F0048,0,0,0,0,0
F0049,0,0,0,0,0
F0050,0,0,0,0,0
F0051,0,1,1,0,0
F0052,0,0,0,0,0
F0053,1,0,1,0,0
F0054,1,0,1,0,0
F0056,1,0,0,0,0
F0057,0,0,0,0,0
F0058,0,0,0,0,0
F0059,0,0,0,0,0
F0060,0,0,0,0,0
F0061,0,0,0,0,0
F0062,0,0,0,0,0
F0063,0,0,0,0,0
F0064,0,0,0,0,0
F0065,0,0,0,0,0
F0066,0,0,1,1,0
F0067,0,0,1,0,0
F0068,0,0,0,0,0
F0069,1,0,1,0,0
F0070,0,0,0,0,0
F0071,0,0,0,1,0
F0072,0,0,0,0,0
F0073,0,0,0,0,0
F0074,0,0,0,0,0
F0075,0,0,0,0,0
F0076,0,0,1,0,0
F0078,0,0,0,0,0
F0079,0,0,0,0,0
F0080,0,0,0,0,0
F0081,0,0,0,0,0
F0082,0,0,0,0,0
F0083,0,0,0,0,0
F0084,1,0,1,0,0
F0085,0,0,0,0,0
F0086,1,0,1,0,0
F0087,0,1,1,0,0
F0088,1,1,1,0,1
F0089,0,0,0,0,0
F0090,0,0,0,0,0
F0091,0,0,0,0,0
F0092,0,0,0,0,0
F0093,1,0,1,0,0
F0094,0,0,0,0,0
F0095,0,0,0,0,0
F0096,0,0,0,0,0
F0098,1,0,1,0,0
F0099,1,0,1,0,0
F0100,0,0,0,0,0
F0101,0,0,0,0,0
F0102,0,0,0,0,0
F0103,0,0,1,1,0
F0104,0,0,0,0,0
F0105,0,0,1,0,0
F0106,0,0,0,0,0
F0107,0,0,0,0,0
F0108,0,0,0,0,0
F0109,0,0,0,0,0
F0110,0,0,0,0,0
F0111,0,0,0,0,0
F0112,0,1,1,1,0
F0113,0,0,0,0,0
F0114,0,0,0,0,0
F0115,0,0,1,0,1
F0116,0,0,0,0,0
F0117,0,0,0,0,0
F0118,0,0,0,0,0
F0119,0,0,0,0,0
F0120,0,0,0,0,0
F0121,1,0,1,0,0
F0122,0,0,0,0,0
F0123,0,0,0,0,0
F0124,0,0,0,0,0
F0125,1,0,0,0,0
F0126,0,0,0,0,0
F0127,0,0,0,0,0
F0128,0,0,0,0,0
F0130,0,0,1,0,0
F0131,0,0,0,0,0
F0132,1,1,1,0,0
F0133,0,0,0,0,0
F0134,0,0,0,0,0
F0135,0,0,0,0,0
F0136,0,0,0,0,0
F0137,0,0,0,0,0
F0138,0,0,1,0,0
F0139,0,0,0,0,0
F0140,0,0,0,0,0
F0141,0,0,0,0,0
F0142,0,0,0,0,0
F0143,0,0,0,0,0
F0144,0,0,0,0,0
F0145,0,0,0,0,0
F0146,0,0,1,0,0
F0147,0,0,0,0,0
F0148,0,0,0,0,0
F0149,1,0,1,0,0
F0150,0,0,0,0,0
F0151,0,0,1,0,0
F0152,1,0,1,0,0
F0153,0,0,0,0,0
F0154,1,0,1,0,0
F0155,1,0,1,0,1
F0156,0,0,0,0,0
F0157,0,0,0,0,0
F0158,0,0,1,0,0
F0159,1,0,1,0,0
F0160,0,0,0,0,0
F0161,1,1,1,0,0
F0162,0,0,0,0,0
F0163,0,0,0,0,0
F0164,0,0,0,0,0
F0165,0,0,0,0,0
F0166,0,0,0,0,0
F0167,0,0,0,0,0
F0168,1,0,1,0,0
F0169,0,0,1,0,0
F0170,0,1,1,0,0
F0171,0,0,1,0,0
F0172,0,0,0,0,0
F0173,0,0,0,0,0
F0174,0,0,0,0,0
F0175,0,0,0,0,0
F0176,0,0,0,0,0
F0177,0,0,1,1,1
F0178,1,0,1,0,0
F0179,1,0,1,0,0
F0180,0,0,0,0,0
F0181,0,0,0,0,0
F0182,0,0,0,0,0
F0183,0,0,0,0,0
F0184,0,0,1,0,0
F0185,0,0,0,0,0
F0186,0,0,0,0,0
F0187,0,0,0,0,0
F0188,0,0,0,0,0
F0189,0,0,1,0,0
F0190,1,0,1,0,0
F0191,0,0,0,0,0
F0192,0,0,0,0,0
F0193,1,0,1,0,0
F0194,0,0,0,0,0
F0195,0,0,0,0,0
F0196,0,0,0,0,0
F0197,0,0,0,0,0
F0198,0,0,0,0,0
F0199,0,0,0,0,0
F0200,0,0,0,0,0
F0201,0,0,0,0,0
F0202,0,0,0,0,0
F0203,0,0,0,0,0
F0204,0,0,0,0,0
F0205,0,0,0,0,0
F0206,0,0,0,0,0
F0207,0,0,0,0,0
F0208,0,0,0,0,0
F0209,0,0,0,0,0
F0210,1,0,1,0,0
F0211,1,0,1,0,0
F0212,0,0,0,0,0
F0213,0,0,1,0,0
F0214,0,0,1,0,0
F0215,0,0,0,0,0
F0216,0,0,0,0,0
F0217,0,0,0,0,0
F0218,0,0,0,0,0
F0219,0,0,0,0,0
F0220,0,0,0,0,0
F0221,0,0,0,0,0
F0222,0,0,0,0,0
F0223,0,0,0,0,0
F0224,0,0,0,0,0
F0225,0,0,0,0,0
F0226,0,0,0,0,0
F0227,0,0,0,0,0
F0228,1,0,1,0,0
F0229,1,0,1,0,0
F0230,1,0,1,0,0
F0231,0,0,0,0,0
F0232,0,0,0,0,0
F0233,0,0,0,0,0
F0234,0,0,1,0,0
F0235,1,0,0,0,0
F0236,0,0,1,0,0
F0237,0,0,0,0,0
F0238,0,0,1,0,0
F0239,0,0,0,0,0
F0240,1,1,1,0,0
F0242,0,0,0,0,0
F0243,0,0,0,0,0
F0244,0,0,0,0,0
F0245,0,0,0,0,0
F0246,0,0,1,0,1
F0247,0,0,0,0,0
F0248,0,0,0,0,0
F0249,0,0,0,0,0
F0250,0,0,0,0,0
F0251,0,0,1,0,0
