fid,status,chars
F0001,cached,3100
F0002,cached,3369
F0003,cached,23966
F0004,cached,5589
F0005,cached,2711
F0006,cached,4043
F0007,no_url,0
F0008,thin,0
F0009,thin,0
F0010,cached,2788
F0011,thin,0
F0012,cached,30818
F0013,ok(8pg),2247
F0014,no_url,0
F0015,cached,12095
F0016,cached,1881
F0017,cached,12942
F0018,cached,5091
F0019,thin,0
F0020,cached,11444
F0021,cached,1941
F0022,cached,5200
F0023,no_url,0
F0024,no_url,0
F0025,cached,32276
F0026,no_url,0
F0027,no_url,0
F0028,cached,22037
F0029,cached,37088
F0030,ok(8pg),9250
F0031,thin,0
F0032,cached,23936
F0033,ok(8pg),7237
F0034,cached,18007
F0035,cached,6287
F0036,cached,296
F0037,cached,12896
F0038,cached,21049
F0039,cached,4712
F0040,cached,4892
F0041,thin,0
F0042,cached,5756
F0043,cached,2227
F0044,ok(8pg),17024
F0045,thin,0
F0046,cached,4479
F0047,cached,4949
F0048,ok(8pg),30477
F0049,ok(8pg),7123
F0050,cached,3916
F0051,cached,5527
F0052,cached,17636
F0053,cached,2050
F0054,ok(8pg),36819
F0055,no_url,0
F0056,thin,0
F0057,cached,5529
F0058,no_url,0
F0059,cached,4920
F0060,cached,6795
F0061,cached,4650
F0062,cached,10311
F0063,no_url,0
F0064,cached,10182
F0065,ok(8pg),4516
F0066,thin,131
F0067,cached,15108
F0068,cached,669
F0069,cached,444
F0070,cached,7836
F0071,cached,13487
F0072,ok(8pg),168
F0073,cached,6640
F0074,cached,27616
F0075,cached,11013
F0076,cached,9771
F0077,no_url,0
F0078,cached,45181
F0079,cached,5488
F0080,cached,7515
F0081,cached,3668
F0082,cached,5954
F0083,cached,21807
F0084,ok(8pg),54896
F0085,cached,3674
F0086,ok(8pg),35448
F0087,cached,695
F0088,no_url,0
F0089,cached,4270
F0090,cached,14692
F0091,thin,0
F0092,cached,9784
F0093,thin,0
F0094,cached,11141
F0095,ok(8pg),28866
F0096,cached,8227
F0097,no_url,0
F0098,thin,0
F0099,cached,34799
F0100,ok(8pg),13720
F0101,cached,50584
F0102,thin,0
F0103,thin,0
F0104,cached,9842
F0105,thin,0
F0106,cached,3496
F0107,cached,10557
F0108,cached,3668
F0109,cached,7426
F0110,ok(8pg),434
F0111,cached,7090
F0112,cached,5488
F0113,cached,1250
F0114,cached,1002
F0115,no_url,0
F0116,cached,10570
F0117,cached,8005
F0118,cached,4588
F0119,cached,6843
F0120,no_url,0
F0121,thin,0
F0122,cached,14776
F0123,cached,1637
F0124,cached,19100
F0125,cached,10838
F0126,thin,0
F0127,cached,453
F0128,cached,2880
F0129,no_url,0
F0130,cached,3101
F0131,cached,52095
F0132,cached,3356
F0133,cached,1394
F0134,cached,6855
F0135,cached,14942
F0136,thin,0
F0137,cached,16711
F0138,cached,31360
F0139,cached,6754
F0140,cached,13792
F0141,cached,14038
F0142,cached,2714
F0143,thin,0
F0144,cached,3740
F0145,thin,109
F0146,thin,0
F0147,cached,2560
F0148,cached,13291
F0149,cached,4397
F0150,cached,1512
F0151,thin,0
F0152,cached,313
F0153,thin,0
F0154,cached,91369
F0155,cached,2389
F0156,cached,233
F0157,cached,324
F0158,cached,21587
F0159,cached,8947
F0160,cached,14416
F0161,cached,2076
F0162,cached,169426
F0163,thin,0
F0164,cached,10953
F0165,cached,1105
F0166,cached,4166
F0167,cached,9674
F0168,cached,1984
F0169,cached,48485
F0170,cached,3543
F0171,cached,389
F0172,cached,51840
F0173,cached,4273
F0174,cached,8266
F0175,no_url,0
F0176,cached,2596
F0177,cached,9308
F0178,cached,4357
F0179,thin,0
F0180,thin,0
F0181,cached,7471
F0182,no_url,0
F0183,thin,0
F0184,no_url,0
F0185,thin,0
F0186,cached,5017
F0187,cached,8039
F0188,no_url,0
F0189,ok(8pg),2879
F0190,no_url,0
F0191,cached,11001
F0192,thin,0
F0193,cached,33982
F0194,thin,0
F0195,cached,4229
F0196,thin,0
F0197,cached,7683
F0198,no_url,0
F0199,thin,0
F0200,ok(8pg),338
F0201,cached,12089
F0202,no_url,0
F0203,cached,3933
F0204,cached,1529
F0205,cached,392
F0206,cached,11356
F0207,cached,9581
F0208,cached,16711
F0209,cached,5370
F0210,cached,655
F0211,cached,13315
F0212,no_url,0
F0213,cached,5329
F0214,cached,7557
F0215,cached,3107
F0216,ok(8pg),18830
F0217,cached,82559
F0218,thin,0
F0219,cached,9136
F0220,cached,40216
F0221,cached,4415
F0222,cached,8011
F0223,cached,5789
F0224,thin,0
F0225,cached,240
F0226,no_url,0
F0227,cached,902
F0228,no_url,0
F0229,no_url,0
F0230,cached,1582
F0231,thin,0
F0232,cached,27695
F0233,cached,6647
F0234,cached,5763
F0235,cached,1930
F0236,cached,848
F0237,cached,11370
F0238,ok(8pg),7605
F0239,cached,7483
F0240,cached,10569
F0241,no_url,0
F0242,thin,0
F0243,no_url,0
F0244,cached,26041
F0245,cached,2050
F0246,cached,8555
F0247,cached,7090
F0248,cached,4057
F0249,cached,3392
F0250,thin,0
F0251,cached,13770
F0252,thin,0
F0253,thin,0
F0254,cached,8197
F0255,thin,0
F0256,cached,1594
F0257,cached,3216
F0258,cached,2408
F0259,no_url,0
F0260,cached,16153
F0261,cached,5289
F0262,cached,1181
F0263,cached,856
F0264,cached,17950
F0265,cached,5241
F0266,cached,3978
F0267,thin,0
F0268,cached,13258
F0269,cached,5384
F0270,no_url,0
F0271,cached,6482
F0272,cached,7245
F0273,cached,4990
F0274,cached,3046
F0275,cached,2799
F0276,cached,5671
F0277,thin,0
F0278,thin,0
F0279,ok(8pg),3648
F0280,cached,3163
F0281,cached,3520
F0282,cached,4590
F0283,ok(8pg),11619
F0284,cached,6869
F0285,cached,332
F0286,cached,225019
F0287,thin,0
F0288,cached,5075
F0289,cached,65671
F0290,cached,8389
F0291,no_url,0
F0292,cached,26301
F0293,no_url,0
F0294,cached,14840
F0295,cached,8447
F0296,no_url,0
F0297,cached,19988
F0298,no_url,0
F0299,cached,624
F0300,cached,425
F0301,no_url,0
F0302,cached,1179
F0303,no_url,0
F0304,cached,7156
F0305,thin,0
F0306,cached,3926
F0307,cached,8193
F0308,cached,7176
F0309,ok(8pg),2596
F0310,cached,10246
F0311,cached,13015
F0312,cached,12844
F0313,cached,11554
F0314,cached,9560
F0315,cached,3144
F0316,thin,0
F0317,thin,137
F0318,no_url,0
F0319,cached,5829
F0320,cached,3034
F0321,cached,64927
F0322,cached,25137
F0323,cached,4250
F0324,thin,0
F0325,cached,8013
F0326,no_url,0
F0327,no_url,0
F0328,cached,12588
F0329,cached,10077
F0330,thin,0
F0331,cached,1034
F0332,cached,561
F0333,cached,14165
F0334,thin,0
F0335,thin,0
F0336,ok(8pg),1428
F0337,no_url,0
F0338,cached,16154
F0339,no_url,0
F0340,thin,0
F0341,cached,2398
F0342,no_url,0
F0343,thin,0
F0344,cached,2396
F0345,cached,3750
F0346,thin,0
F0347,cached,56251
F0348,no_url,0
F0349,thin,0
F0350,thin,0
F0351,no_url,0
F0352,no_url,0
F0353,cached,19512
F0354,cached,1160
F0355,cached,9703
F0356,cached,922
F0357,cached,5104
F0358,cached,174758
F0359,cached,5153
F0360,thin,0
F0361,cached,379
F0362,ok(8pg),450
F0363,thin,0
F0364,cached,12937
F0365,cached,33155
F0366,cached,12240
F0367,cached,5051
F0368,no_url,0
F0369,cached,12979
F0370,cached,12261
F0371,no_url,0
F0372,cached,1655
F0373,thin,142
F0374,no_url,0
F0375,cached,10101
F0376,thin,0
F0377,no_url,0
F0378,thin,0
F0379,cached,1224
F0380,thin,0
F0381,cached,9193
F0382,cached,356
F0383,thin,0
F0384,thin,0
F0385,cached,2363
F0386,cached,13077
F0387,cached,15592
F0388,cached,38529
F0389,thin,0
F0390,cached,8561
F0391,cached,900
F0392,cached,3262
F0393,no_url,0
F0394,cached,6025
F0395,no_url,0
F0396,cached,19921
F0397,cached,6769
F0398,thin,0
F0399,cached,3106
F0400,cached,29045
