fid,b_anyuse,m_anyuse,b_exposed,m_exposed,exposure_gap,anyuse_gap
F0001,0,0,0,0,0,0
F0002,0,0,0,0,0,0
F0003,0,0,0,0,0,0
F0004,0,0,0,0,0,0
F0005,1,0,0,0,0,-1
F0006,0,0,0,0,0,0
F0010,0,0,0,0,0,0
F0012,1,0,0,0,0,-1
F0013,0,0,0,0,0,0
F0015,0,0,0,0,0,0
F0016,0,0,0,0,0,0
F0017,1,0,0,0,0,-1
F0018,1,0,0,0,0,-1
F0020,1,0,0,0,0,-1
F0021,0,0,0,0,0,0
F0022,0,0,0,0,0,0
F0025,1,0,0,0,0,-1
F0028,0,0,0,0,0,0
F0029,0,0,0,0,0,0
F0030,0,0,0,0,0,0
F0032,1,0,0,0,0,-1
F0033,0,0,0,0,0,0
F0034,0,0,0,0,0,0
F0035,0,0,0,0,0,0
F0036,0,0,0,0,0,0
F0037,0,0,0,0,0,0
F0038,0,0,0,0,0,0
F0039,1,0,0,0,0,-1
F0040,1,0,0,0,0,-1
F0042,0,0,0,0,0,0
F0043,0,0,0,0,0,0
F0044,0,0,0,0,0,0
F0046,0,0,0,0,0,0
F0047,0,0,0,0,0,0
F0048,0,0,0,0,0,0
F0049,0,0,0,0,0,0
F0050,0,0,0,0,0,0
F0051,1,1,0,0,0,0
F0052,0,0,0,0,0,0
F0053,1,0,0,0,0,-1
F0054,1,0,0,0,0,-1
F0057,0,0,0,0,0,0
F0059,0,0,0,0,0,0
F0060,0,0,0,0,0,0
F0061,0,0,0,0,0,0
F0062,0,0,0,0,0,0
F0064,0,0,0,0,0,0
F0065,0,0,0,0,0,0
F0067,0,0,0,0,0,0
F0068,0,0,0,0,0,0
F0069,1,0,0,0,0,-1
F0070,0,0,0,0,0,0
F0071,0,0,0,0,0,0
F0072,0,0,0,0,0,0
F0073,0,0,0,0,0,0
F0074,0,0,0,0,0,0
F0075,0,0,0,0,0,0
F0076,0,0,0,0,0,0
F0078,0,0,0,0,0,0
F0079,0,0,0,0,0,0
F0080,0,0,0,0,0,0
F0081,0,0,0,0,0,0
F0082,0,0,0,0,0,0
F0083,0,0,0,0,0,0
F0084,1,0,0,0,0,-1
F0085,0,0,0,0,0,0
F0086,1,1,0,0,0,0
F0087,1,0,0,0,0,-1
F0089,0,0,0,0,0,0
F0090,0,0,0,0,0,0
F0092,0,0,0,0,0,0
F0094,0,0,0,0,0,0
F0095,0,0,0,0,0,0
F0096,0,0,0,0,0,0
F0099,1,0,0,0,0,-1
F0100,0,0,0,0,0,0
F0101,0,1,0,1,1,1
F0104,0,0,0,0,0,0
F0106,0,0,0,0,0,0
F0107,0,0,0,0,0,0
F0108,0,0,0,0,0,0
F0109,0,0,0,0,0,0
F0110,0,0,0,0,0,0
F0111,0,0,0,0,0,0
F0112,1,0,0,0,0,-1
F0113,0,0,0,0,0,0
F0114,0,0,0,0,0,0
F0116,0,0,0,0,0,0
F0117,0,0,0,0,0,0
F0118,0,0,0,0,0,0
